2023.10.05 08:30,207000,210000,good
2023.10.12 08:30,209000,210000,good
2023.10.19 08:30,198000,210000,good
2023.10.26 08:30,210000,208000,bad
2023.11.02 08:30,217000,210000,bad
2023.11.09 08:30,231000,215000,bad
2023.11.16 08:30,233000,220000,bad
2023.11.22 08:30,209000,226000,good
2023.11.30 08:30,218000,220000,good
2023.12.07 08:30,220000,222000,good
2023.12.14 08:30,202000,220000,good
2023.12.21 08:30,205000,215000,good
2023.12.28 08:30,218000,210000,bad
2024.01.04 08:30,202000,216000,good
2024.01.11 08:30,202000,210000,good
2024.01.18 08:30,187000,207000,good
2024.01.25 08:30,214000,200000,bad
2024.02.01 08:30,224000,212000,bad
2024.02.08 08:30,218000,220000,good
2024.02.15 08:30,212000,220000,good
2024.02.22 08:30,201000,218000,good
2024.02.29 08:30,215000,210000,bad
2024.03.07 08:30,217000,215000,bad
2024.03.14 08:30,209000,218000,good
2024.03.21 08:30,210000,213000,good
2024.03.28 08:30,212000,210000,bad
2024.04.04 08:30,221000,214000,bad
2024.04.11 08:30,211000,215000,good
2024.04.18 08:30,212000,215000,good
2024.04.25 08:30,207000,214000,good
2024.05.02 08:30,208000,212000,good
2024.05.09 08:30,231000,210000,bad
2024.05.16 08:30,222000,220000,bad
2024.05.23 08:30,215000,220000,good
2024.05.30 08:30,219000,218000,bad
2024.06.06 08:30,229000,220000,bad
2024.06.13 08:30,242000,225000,bad
2024.06.20 08:30,238000,235000,bad
